,Unnamed: 0,person1,bench3,person2,filename
0,person1,0,742,138.0,116
1,person2,138,629,0.0,116
2,bench3,742,0,629.0,116
0,person1,0,777,207.0,100
1,person2,207,581,0.0,100
2,bench3,777,0,581.0,100
0,person1,0,745,142.0,114
1,person2,142,625,0.0,114
2,bench3,745,0,625.0,114
0,person1,0,713,,128
1,bench3,713,0,,128
0,person1,0,753,434.0,29
1,person2,434,322,0.0,29
2,bench3,753,0,322.0,29
0,person1,0,789,523.0,15
1,person2,523,266,0.0,15
2,bench3,789,0,266.0,15
0,person1,0,793,531.0,14
1,person2,531,262,0.0,14
2,bench3,793,0,262.0,14
0,person1,0,754,443.0,28
1,person2,443,314,0.0,28
2,bench3,754,0,314.0,28
0,person1,0,710,,129
1,bench3,710,0,,129
0,person1,0,744,140.0,115
1,person2,140,627,0.0,115
2,bench3,744,0,627.0,115
0,person1,0,773,197.0,101
1,person2,197,588,0.0,101
2,bench3,773,0,588.0,101
0,person1,0,655,,139
1,bench3,655,0,,139
0,person1,0,765,177.0,105
1,person2,177,605,0.0,105
2,bench3,765,0,605.0,105
0,person1,0,752,152.0,111
1,person2,152,618,0.0,111
2,bench3,752,0,618.0,111
0,person1,0,797,542.0,10
1,person2,542,255,0.0,10
2,bench3,797,0,255.0,10
0,person1,0,734,379.0,38
1,person2,379,358,0.0,38
2,bench3,734,0,358.0,38
0,person1,0,731,372.0,39
1,person2,372,362,0.0,39
2,bench3,731,0,362.0,39
0,person1,0,799,541.0,11
1,person2,541,259,0.0,11
2,bench3,799,0,259.0,11
0,person1,0,754,154.0,110
1,person2,154,617,0.0,110
2,bench3,754,0,617.0,110
0,person1,0,766,182.0,104
1,person2,182,602,0.0,104
2,bench3,766,0,602.0,104
0,person1,0,663,,138
1,bench3,663,0,,138
0,person1,0,750,149.0,112
1,person2,149,621,0.0,112
2,bench3,750,0,621.0,112
0,person1,0,763,172.0,106
1,person2,172,609,0.0,106
2,bench3,763,0,609.0,106
0,person1,0,796,536.0,13
1,person2,536,260,0.0,13
2,bench3,796,0,260.0,13
0,person1,0,799,540.0,12
1,person2,540,259,0.0,12
2,bench3,799,0,259.0,12
0,person1,0,762,167.0,107
1,person2,167,611,0.0,107
2,bench3,762,0,611.0,107
0,person1,0,748,145.0,113
1,person2,145,623,0.0,113
2,bench3,748,0,623.0,113
0,person1,0,741,109.0,202
1,bench3,741,0,805.0,202
2,person2,109,805,0.0,202
0,person1,0,672,118.0,174
1,bench3,672,0,736.0,174
2,person2,118,736,0.0,174
0,person1,0,661,138.0,160
1,bench3,661,0,717.0,160
2,person2,138,717,0.0,160
0,person1,0,638,147.0,148
1,bench3,638,0,706.0,148
2,person2,147,706,0.0,148
0,person1,0,725,328.0,49
1,person2,328,403,0.0,49
2,bench3,725,0,403.0,49
0,person1,0,741,258.0,75
1,person2,258,492,0.0,75
2,bench3,741,0,492.0,75
0,person1,0,723,278.0,61
1,person2,278,450,0.0,61
2,bench3,723,0,450.0,61
0,person1,0,722,280.0,60
1,person2,280,447,0.0,60
2,bench3,722,0,447.0,60
0,person1,0,737,258.0,74
1,person2,258,489,0.0,74
2,bench3,737,0,489.0,74
0,person1,0,728,337.0,48
1,person2,337,397,0.0,48
2,bench3,728,0,397.0,48
0,person1,0,639,144.0,149
1,bench3,639,0,706.0,149
2,person2,144,706,0.0,149
0,person1,0,663,133.0,161
1,bench3,663,0,717.0,161
2,person2,133,717,0.0,161
0,person1,0,671,118.0,175
1,bench3,671,0,738.0,175
2,person2,118,738,0.0,175
0,person1,0,740,109.0,201
1,bench3,740,0,802.0,201
2,person2,109,802,0.0,201
0,person1,0,665,126.0,163
1,bench3,665,0,719.0,163
2,person2,126,719,0.0,163
0,person1,0,799,269.0,89
1,person2,269,536,0.0,89
2,bench3,799,0,536.0,89
0,person1,0,674,132.0,177
1,bench3,674,0,740.0,177
2,person2,132,740,0.0,177
0,person1,0,723,278.0,62
1,person2,278,451,0.0,62
2,bench3,723,0,451.0,62
0,person1,0,746,259.0,76
1,person2,259,496,0.0,76
2,bench3,746,0,496.0,76
0,person1,0,710,121.0,188
1,bench3,710,0,774.0,188
2,person2,121,774,0.0,188
0,person1,0,751,260.0,77
1,person2,260,498,0.0,77
2,bench3,751,0,498.0,77
0,person1,0,716,122.0,189
1,bench3,716,0,779.0,189
2,person2,122,779,0.0,189
0,person1,0,724,277.0,63
1,person2,277,453,0.0,63
2,bench3,724,0,453.0,63
0,person1,0,798,271.0,88
1,person2,271,533,0.0,88
2,bench3,798,0,533.0,88
0,person1,0,672,117.0,176
1,bench3,672,0,740.0,176
2,person2,117,740,0.0,176
0,person1,0,665,128.0,162
1,bench3,665,0,718.0,162
2,person2,128,718,0.0,162
0,person1,0,740,,200
1,bench3,740,0,,200
0,person1,0,786,223.0,98
1,person2,223,570,0.0,98
2,bench3,786,0,570.0,98
0,person1,0,665,118.0,166
1,bench3,665,0,724.0,166
2,person2,118,724,0.0,166
0,person1,0,667,112.0,172
1,bench3,667,0,734.0,172
2,person2,112,734,0.0,172
0,person1,0,726,270.0,67
1,person2,270,463,0.0,67
2,bench3,726,0,463.0,67
0,person1,0,742,,199
1,bench3,742,0,,199
0,person1,0,733,256.0,73
1,person2,256,486,0.0,73
2,bench3,733,0,486.0,73
0,person1,0,791,541.0,9
1,person2,541,249,0.0,9
2,bench3,791,0,249.0,9
0,person1,0,786,541.0,8
1,person2,541,245,0.0,8
2,bench3,786,0,245.0,8
0,person1,0,730,254.0,72
