,Unnamed: 0,car:1,motorcycle:2,person:3,car:4,person:5,motorcycle:6,car:7,truck:4,person:4,car:8,car:10,car:13,motorcycle:10,car:15,person:8,truck:13
1,motorcycle:2,978.0,0,290,1814.0,631,578.0,,,,,,,,,,
2,person:3,936.0,290,0,1792.0,551,549.0,,,,,,,,,,
3,car:4,855.0,1814,1792,0.0,1241,1252.0,,,,,,,,,,
4,person:5,386.0,631,551,1241.0,0,109.0,,,,,,,,,,
5,motorcycle:6,403.0,578,549,1252.0,109,0.0,,,,,,,,,,
0,car:1,0.0,980,937,867.0,387,403.0,,,,,,,,,,
1,motorcycle:2,980.0,0,289,1828.0,630,579.0,,,,,,,,,,
2,person:3,937.0,289,0,1805.0,551,551.0,,,,,,,,,,
3,car:4,867.0,1828,1805,0.0,1254,1264.0,,,,,,,,,,
4,person:5,387.0,630,551,1254.0,0,109.0,,,,,,,,,,
5,motorcycle:6,403.0,579,551,1264.0,109,0.0,,,,,,,,,,
0,car:1,0.0,980,940,880.0,388,401.0,,,,,,,,,,
1,motorcycle:2,980.0,0,281,1841.0,628,580.0,,,,,,,,,,
2,person:3,940.0,281,0,1821.0,553,555.0,,,,,,,,,,
3,car:4,880.0,1841,1821,0.0,1269,1275.0,,,,,,,,,,
4,person:5,388.0,628,553,1269.0,0,106.0,,,,,,,,,,
5,motorcycle:6,401.0,580,555,1275.0,106,0.0,,,,,,,,,,
0,car:1,0.0,983,942,895.0,386,403.0,,,,,,,,,,
1,motorcycle:2,983.0,0,285,1858.0,633,581.0,,,,,,,,,,
2,person:3,942.0,285,0,1837.0,557,556.0,,,,,,,,,,
3,car:4,895.0,1858,1837,0.0,1281,1291.0,,,,,,,,,,
4,person:5,386.0,633,557,1281.0,0,110.0,,,,,,,,,,
5,motorcycle:6,403.0,581,556,1291.0,110,0.0,,,,,,,,,,
0,car:1,0.0,986,947,904.0,392,410.0,,,,,,,,,,
1,motorcycle:2,986.0,0,299,1870.0,632,578.0,,,,,,,,,,
2,person:3,947.0,299,0,1851.0,555,557.0,,,,,,,,,,
3,car:4,904.0,1870,1851,0.0,1296,1307.0,,,,,,,,,,
4,person:5,392.0,632,555,1296.0,0,112.0,,,,,,,,,,
5,motorcycle:6,410.0,578,557,1307.0,112,0.0,,,,,,,,,,
0,car:1,0.0,702,675,257.0,324,333.0,,,,,,,,,,
1,motorcycle:2,702.0,0,189,955.0,402,369.0,,,,,,,,,,
2,person:3,675.0,189,0,932.0,351,372.0,,,,,,,,,,
3,car:4,257.0,955,932,0.0,581,586.0,,,,,,,,,,
4,person:5,324.0,402,351,581.0,0,106.0,,,,,,,,,,
5,motorcycle:6,333.0,369,372,586.0,106,0.0,,,,,,,,,,
0,car:1,0.0,990,948,913.0,388,410.0,,,,,,,,,,
1,motorcycle:2,990.0,0,298,1884.0,639,581.0,,,,,,,,,,
2,person:3,948.0,298,0,1862.0,560,558.0,,,,,,,,,,
3,car:4,913.0,1884,1862,0.0,1301,1316.0,,,,,,,,,,
4,person:5,388.0,639,560,1301.0,0,114.0,,,,,,,,,,
5,motorcycle:6,410.0,581,558,1316.0,114,0.0,,,,,,,,,,
0,car:1,0.0,989,948,922.0,389,414.0,1170.0,,,,,,,,,
1,motorcycle:2,989.0,0,300,1891.0,637,577.0,2137.0,,,,,,,,,
2,person:3,948.0,300,0,1870.0,559,555.0,2118.0,,,,,,,,,
3,car:4,922.0,1891,1870,0.0,1311,1328.0,248.0,,,,,,,,,
4,person:5,389.0,637,559,1311.0,0,115.0,1559.0,,,,,,,,,
5,motorcycle:6,414.0,577,555,1328.0,115,0.0,1576.0,,,,,,,,,
6,car:7,1170.0,2137,2118,248.0,1559,1576.0,0.0,,,,,,,,,
0,car:1,0.0,986,951,937.0,391,413.0,1203.0,,,,,,,,,
1,motorcycle:2,986.0,0,291,1905.0,629,574.0,2169.0,,,,,,,,,
2,person:3,951.0,291,0,1888.0,560,558.0,2154.0,,,,,,,,,
3,car:4,937.0,1905,1888,0.0,1328,1344.0,265.0,,,,,,,,,
4,person:5,391.0,629,560,1328.0,0,110.0,1594.0,,,,,,,,,
5,motorcycle:6,413.0,574,558,1344.0,110,0.0,1609.0,,,,,,,,,
6,car:7,1203.0,2169,2154,265.0,1594,1609.0,0.0,,,,,,,,,
0,car:1,0.0,982,952,952.0,395,413.0,1207.0,,,,,,,,,
1,motorcycle:2,982.0,0,266,1918.0,618,570.0,2172.0,,,,,,,,,
2,person:3,952.0,266,0,1905.0,557,556.0,2160.0,,,,,,,,,
3,car:4,952.0,1918,1905,0.0,1347,1359.0,255.0,,,,,,,,,
4,person:5,395.0,618,557,1347.0,0,105.0,1602.0,,,,,,,,,
5,motorcycle:6,413.0,570,556,1359.0,105,0.0,1614.0,,,,,,,,,
6,car:7,1207.0,2172,2160,255.0,1602,1614.0,0.0,,,,,,,,,
0,car:1,0.0,989,957,966.0,395,413.0,1219.0,,,,,,,,,
1,motorcycle:2,989.0,0,280,1939.0,625,577.0,2189.0,,,,,,,,,
