,Unnamed: 0,person1,person2,bench3,file
143,person1,0,153.0,639,147
144,bench3,639,704.0,0,147
145,person2,153,0.0,704,147
146,person1,0,147.0,638,148
147,bench3,638,706.0,0,148
148,person2,147,0.0,706,148
149,person1,0,144.0,639,149
150,bench3,639,706.0,0,149
151,person2,144,0.0,706,149
152,person1,0,523.0,789,15
153,person2,523,0.0,266,15
154,bench3,789,266.0,0,15
155,person1,0,141.0,639,150
156,bench3,639,709.0,0,150
157,person2,141,0.0,709,150
158,person1,0,139.0,641,151
159,bench3,641,710.0,0,151
160,person2,139,0.0,710,151
161,person1,0,139.0,645,152
162,bench3,645,714.0,0,152
163,person2,139,0.0,714,152
164,person1,0,138.0,649,153
165,bench3,649,719.0,0,153
166,person2,138,0.0,719,153
167,person1,0,137.0,651,154
168,bench3,651,720.0,0,154
169,person2,137,0.0,720,154
170,person1,0,136.0,653,155
171,bench3,653,721.0,0,155
172,person2,136,0.0,721,155
173,person1,0,136.0,656,156
174,bench3,656,721.0,0,156
175,person2,136,0.0,721,156
176,person1,0,135.0,657,157
177,bench3,657,721.0,0,157
178,person2,135,0.0,721,157
179,person1,0,137.0,658,158
180,bench3,658,720.0,0,158
181,person2,137,0.0,720,158
182,person1,0,140.0,659,159
183,bench3,659,719.0,0,159
184,person2,140,0.0,719,159
185,person1,0,519.0,786,16
186,person2,519,0.0,267,16
187,bench3,786,267.0,0,16
188,person1,0,138.0,661,160
189,bench3,661,717.0,0,160
190,person2,138,0.0,717,160
191,person1,0,133.0,663,161
192,bench3,663,717.0,0,161
193,person2,133,0.0,717,161
194,person1,0,128.0,665,162
195,bench3,665,718.0,0,162
196,person2,128,0.0,718,162
197,person1,0,126.0,665,163
198,bench3,665,719.0,0,163
199,person2,126,0.0,719,163
200,person1,0,124.0,665,164
201,bench3,665,721.0,0,164
202,person2,124,0.0,721,164
203,person1,0,121.0,665,165
204,bench3,665,722.0,0,165
205,person2,121,0.0,722,165
206,person1,0,118.0,665,166
207,bench3,665,724.0,0,166
208,person2,118,0.0,724,166
209,person1,0,115.0,666,167
210,bench3,666,726.0,0,167
211,person2,115,0.0,726,167
212,person1,0,113.0,667,168
213,bench3,667,728.0,0,168
214,person2,113,0.0,728,168
215,person1,0,112.0,667,169
216,bench3,667,729.0,0,169
217,person2,112,0.0,729,169
218,person1,0,518.0,785,17
219,person2,518,0.0,267,17
220,bench3,785,267.0,0,17
221,person1,0,111.0,668,170
222,bench3,668,731.0,0,170
223,person2,111,0.0,731,170
224,person1,0,112.0,667,171
225,bench3,667,732.0,0,171
226,person2,112,0.0,732,171
227,person1,0,112.0,667,172
228,bench3,667,734.0,0,172
229,person2,112,0.0,734,172
230,person1,0,115.0,670,173
231,bench3,670,736.0,0,173
232,person2,115,0.0,736,173
233,person1,0,118.0,672,174
234,bench3,672,736.0,0,174
235,person2,118,0.0,736,174
236,person1,0,118.0,671,175
237,bench3,671,738.0,0,175
238,person2,118,0.0,738,175
239,person1,0,117.0,672,176
240,bench3,672,740.0,0,176
241,person2,117,0.0,740,176
242,person1,0,132.0,674,177
243,bench3,674,740.0,0,177
244,person2,132,0.0,740,177
245,person1,0,135.0,677,178
246,bench3,677,740.0,0,178
247,person2,135,0.0,740,178
248,person1,0,137.0,680,179
249,bench3,680,742.0,0,179
250,person2,137,0.0,742,179
251,person1,0,519.0,783,18
252,person2,519,0.0,264,18
253,bench3,783,264.0,0,18
254,person1,0,135.0,683,180
255,bench3,683,743.0,0,180
256,person2,135,0.0,743,180
257,person1,0,130.0,685,181
258,bench3,685,745.0,0,181
259,person2,130,0.0,745,181
260,person1,0,121.0,687,182
261,bench3,687,749.0,0,182
262,person2,121,0.0,749,182
263,person1,0,117.0,690,183
264,bench3,690,753.0,0,183
265,person2,117,0.0,753,183
266,person1,0,114.0,693,184
267,bench3,693,756.0,0,184
268,person2,114,0.0,756,184
269,person1,0,113.0,697,185
270,bench3,697,760.0,0,185
271,person2,113,0.0,760,185
272,person1,0,118.0,700,186
273,bench3,700,765.0,0,186
274,person2,118,0.0,765,186
275,person1,0,121.0,705,187
276,bench3,705,767.0,0,187
277,person2,121,0.0,767,187
278,person1,0,121.0,710,188
279,bench3,710,774.0,0,188
280,person2,121,0.0,774,188
281,person1,0,122.0,716,189
282,bench3,716,779.0,0,189
283,person2,122,0.0,779,189
284,person1,0,520.0,780,19
285,person2,520,0.0,261,19
286,bench3,780,261.0,0,19
287,person1,0,118.0,722,190
288,bench3,722,783.0,0,190
289,person2,118,0.0,783,190
290,person1,0,117.0,727,191
291,bench3,727,787.0,0,191
292,person2,117,0.0,787,191
293,person1,0,,733,192
294,bench3,733,,0,192
295,person1,0,,738,193
296,bench3,738,,0,193
297,person1,0,,740,194
298,bench3,740,,0,194
299,person1,0,,740,195
300,bench3,740,,0,195
301,person1,0,,739,196
302,bench3,739,,0,196
303,person1,0,,736,197
304,bench3,736,,0,197
305,person1,0,,737,198
306,bench3,737,,0,198
307,person1,0,,742,199
308,bench3,742,,0,199
309,person1,0,536.0,682,2
310,person2,536,0.0,148,2
311,bench3,682,148.0,0,2
312,person1,0,514.0,775,20
313,person2,514,0.0,262,20
