,Unnamed: 0,person1,bench3,person2,filename
300,bench3,750,0,329.0,30
301,person1,0,765,491.0,24
302,person2,491,275,0.0,24
303,bench3,765,0,275.0,24
304,person1,0,701,,131
305,bench3,701,0,,131
306,person1,0,721,131.0,125
307,person2,131,633,0.0,125
308,bench3,721,0,633.0,125
309,person1,0,735,124.0,119
310,person2,124,640,0.0,119
311,bench3,735,0,640.0,119
312,person1,0,690,,133
313,bench3,690,0,,133
314,person1,0,717,,127
315,bench3,717,0,,127
316,person1,0,743,413.0,32
317,person2,413,334,0.0,32
318,bench3,743,0,334.0,32
319,person1,0,760,470.0,26
320,person2,470,290,0.0,26
321,bench3,760,0,290.0,26
322,person1,0,756,455.0,27
323,person2,455,302,0.0,27
324,bench3,756,0,302.0,27
325,person1,0,742,409.0,33
326,person2,409,337,0.0,33
327,bench3,742,0,337.0,33
328,person1,0,719,134.0,126
329,person2,134,638,0.0,126
330,bench3,719,0,638.0,126
331,person1,0,695,,132
332,bench3,695,0,,132
333,person1,0,740,134.0,117
334,person2,134,633,0.0,117
335,bench3,740,0,633.0,117
336,person1,0,768,188.0,103
337,person2,188,597,0.0,103
338,bench3,768,0,597.0,103
339,person1,0,786,519.0,16
340,person2,519,267,0.0,16
341,bench3,786,0,267.0,16
342,person1,0,785,518.0,17
343,person2,518,267,0.0,17
344,bench3,785,0,267.0,17
345,person1,0,770,191.0,102
346,person2,191,593,0.0,102
347,bench3,770,0,593.0,102
348,person1,0,742,138.0,116
349,person2,138,629,0.0,116
350,bench3,742,0,629.0,116
351,person1,0,777,207.0,100
352,person2,207,581,0.0,100
353,bench3,777,0,581.0,100
354,person1,0,745,142.0,114
355,person2,142,625,0.0,114
356,bench3,745,0,625.0,114
357,person1,0,713,,128
358,bench3,713,0,,128
359,person1,0,753,434.0,29
360,person2,434,322,0.0,29
361,bench3,753,0,322.0,29
362,person1,0,789,523.0,15
363,person2,523,266,0.0,15
364,bench3,789,0,266.0,15
365,person1,0,793,531.0,14
366,person2,531,262,0.0,14
367,bench3,793,0,262.0,14
368,person1,0,754,443.0,28
369,person2,443,314,0.0,28
370,bench3,754,0,314.0,28
371,person1,0,710,,129
372,bench3,710,0,,129
373,person1,0,744,140.0,115
374,person2,140,627,0.0,115
375,bench3,744,0,627.0,115
376,person1,0,773,197.0,101
377,person2,197,588,0.0,101
378,bench3,773,0,588.0,101
379,person1,0,655,,139
380,bench3,655,0,,139
381,person1,0,765,177.0,105
382,person2,177,605,0.0,105
383,bench3,765,0,605.0,105
384,person1,0,752,152.0,111
385,person2,152,618,0.0,111
386,bench3,752,0,618.0,111
387,person1,0,797,542.0,10
388,person2,542,255,0.0,10
389,bench3,797,0,255.0,10
390,person1,0,734,379.0,38
391,person2,379,358,0.0,38
392,bench3,734,0,358.0,38
393,person1,0,731,372.0,39
394,person2,372,362,0.0,39
395,bench3,731,0,362.0,39
396,person1,0,799,541.0,11
397,person2,541,259,0.0,11
398,bench3,799,0,259.0,11
399,person1,0,754,154.0,110
400,person2,154,617,0.0,110
401,bench3,754,0,617.0,110
402,person1,0,766,182.0,104
403,person2,182,602,0.0,104
404,bench3,766,0,602.0,104
405,person1,0,663,,138
406,bench3,663,0,,138
407,person1,0,750,149.0,112
408,person2,149,621,0.0,112
409,bench3,750,0,621.0,112
410,person1,0,763,172.0,106
411,person2,172,609,0.0,106
412,bench3,763,0,609.0,106
413,person1,0,796,536.0,13
414,person2,536,260,0.0,13
415,bench3,796,0,260.0,13
416,person1,0,799,540.0,12
417,person2,540,259,0.0,12
418,bench3,799,0,259.0,12
419,person1,0,762,167.0,107
420,person2,167,611,0.0,107
421,bench3,762,0,611.0,107
422,person1,0,748,145.0,113
423,person2,145,623,0.0,113
424,bench3,748,0,623.0,113
425,person1,0,741,109.0,202
426,bench3,741,0,805.0,202
427,person2,109,805,0.0,202
428,person1,0,672,118.0,174
429,bench3,672,0,736.0,174
430,person2,118,736,0.0,174
431,person1,0,661,138.0,160
432,bench3,661,0,717.0,160
433,person2,138,717,0.0,160
434,person1,0,638,147.0,148
435,bench3,638,0,706.0,148
436,person2,147,706,0.0,148
437,person1,0,725,328.0,49
438,person2,328,403,0.0,49
439,bench3,725,0,403.0,49
440,person1,0,741,258.0,75
441,person2,258,492,0.0,75
442,bench3,741,0,492.0,75
443,person1,0,723,278.0,61
444,person2,278,450,0.0,61
445,bench3,723,0,450.0,61
446,person1,0,722,280.0,60
447,person2,280,447,0.0,60
448,bench3,722,0,447.0,60
449,person1,0,737,258.0,74
450,person2,258,489,0.0,74
451,bench3,737,0,489.0,74
452,person1,0,728,337.0,48
453,person2,337,397,0.0,48
454,bench3,728,0,397.0,48
455,person1,0,639,144.0,149
456,bench3,639,0,706.0,149
457,person2,144,706,0.0,149
458,person1,0,663,133.0,161
459,bench3,663,0,717.0,161
460,person2,133,717,0.0,161
461,person1,0,671,118.0,175
462,bench3,671,0,738.0,175
463,person2,118,738,0.0,175
464,person1,0,740,109.0,201
465,bench3,740,0,802.0,201
466,person2,109,802,0.0,201
467,person1,0,665,126.0,163
468,bench3,665,0,719.0,163
469,person2,126,719,0.0,163
470,person1,0,799,269.0,89
471,person2,269,536,0.0,89
472,bench3,799,0,536.0,89
473,person1,0,674,132.0,177
474,bench3,674,0,740.0,177
475,person2,132,740,0.0,177
476,person1,0,723,278.0,62
477,person2,278,451,0.0,62
478,bench3,723,0,451.0,62
479,person1,0,746,259.0,76
480,person2,259,496,0.0,76
481,bench3,746,0,496.0,76
482,person1,0,710,121.0,188
483,bench3,710,0,774.0,188
484,person2,121,774,0.0,188
485,person1,0,751,260.0,77
486,person2,260,498,0.0,77
487,bench3,751,0,498.0,77
488,person1,0,716,122.0,189
489,bench3,716,0,779.0,189
490,person2,122,779,0.0,189
491,person1,0,724,277.0,63
492,person2,277,453,0.0,63
493,bench3,724,0,453.0,63
494,person1,0,798,271.0,88
495,person2,271,533,0.0,88
496,bench3,798,0,533.0,88
497,person1,0,672,117.0,176
498,bench3,672,0,740.0,176
499,person2,117,740,0.0,176
500,person1,0,665,128.0,162
501,bench3,665,0,718.0,162
502,person2,128,718,0.0,162
503,person1,0,740,,200
504,bench3,740,0,,200
505,person1,0,786,223.0,98
506,person2,223,570,0.0,98
507,bench3,786,0,570.0,98
508,person1,0,665,118.0,166
509,bench3,665,0,724.0,166
510,person2,118,724,0.0,166
511,person1,0,667,112.0,172
512,bench3,667,0,734.0,172
513,person2,112,734,0.0,172
514,person1,0,726,270.0,67
515,person2,270,463,0.0,67
516,bench3,726,0,463.0,67
517,person1,0,742,,199
518,bench3,742,0,,199
519,person1,0,733,256.0,73
520,person2,256,486,0.0,73
521,bench3,733,0,486.0,73
522,person1,0,791,541.0,9
523,person2,541,249,0.0,9
524,bench3,791,0,249.0,9
525,person1,0,786,541.0,8
526,person2,541,245,0.0,8
527,bench3,786,0,245.0,8
528,person1,0,730,254.0,72
529,person2,254,485,0.0,72
530,bench3,730,0,485.0,72
531,person1,0,726,271.0,66
532,person2,271,461,0.0,66
533,bench3,726,0,461.0,66
534,person1,0,737,,198
535,bench3,737,0,,198
536,person1,0,670,115.0,173
537,bench3,670,0,736.0,173
538,person2,115,736,0.0,173
539,person1,0,781,215.0,99
540,person2,215,575,0.0,99
541,bench3,781,0,575.0,99
542,person1,0,666,115.0,167
543,bench3,666,0,726.0,167
544,person2,115,726,0.0,167
545,person1,0,659,140.0,159
546,bench3,659,0,719.0,159
547,person2,140,719,0.0,159
548,person1,0,667,112.0,171
549,bench3,667,0,732.0,171
550,person2,112,732,0.0,171
551,person1,0,665,121.0,165
552,bench3,665,0,722.0,165
553,person2,121,722,0.0,165
554,person1,0,724,256.0,70
555,person2,256,476,0.0,70
556,bench3,724,0,476.0,70
557,person1,0,725,276.0,64
558,person2,276,456,0.0,64
559,bench3,725,0,456.0,64
560,person1,0,723,287.0,58
561,person2,287,441,0.0,58
